Experiment,Score,MAE,MSE,R2,n_estimators,learning_rate,max_depth,subsample,loss,min_samples_split,min_samples_leaf,n_iter_no_change,validation_fraction,tol
Default model,0.2171308754825235,16.922553958108292,845.1165896999341,0.2171308754825235,100,0.1,3,1.0,squared_error,,,,,
More estimators,0.2230798648779167,16.83606388043918,838.4359216674663,0.2230798648779167,200,0.1,3,1.0,squared_error,,,,,
Lower learning rate,0.21690065445522913,16.924857785462404,845.3273233829366,0.21690065445522913,200,0.05,3,1.0,squared_error,,,,,
Shallow trees,0.20443768226698103,17.114348107454887,859.2451626908423,0.20443768226698103,100,0.1,2,1.0,squared_error,,,,,
Deeper trees,0.2342143460264786,16.688669991924804,825.6096779569108,0.2342143460264786,100,0.1,5,1.0,squared_error,,,,,
Subsample 0.8,0.2178888729204597,16.914080145835097,844.0770781379617,0.2178888729204597,100,0.1,3,0.8,squared_error,,,,,
Absolute error loss,0.1302903317894684,15.515254904113327,960.6377194772367,0.1302903317894684,100,0.1,3,1.0,absolute_error,,,,,
Huber loss,0.17820303823414932,15.893184936807152,901.9094364591037,0.17820303823414932,100,0.1,3,1.0,huber,,,,,
Higher min_samples_split,0.21697635891162068,16.92481105678702,845.3068143668147,0.21697635891162068,100,0.1,3,1.0,squared_error,10.0,,,,
Higher min_samples_leaf,0.21687846717258832,16.920930416624987,845.5669186875361,0.21687846717258832,100,0.1,3,1.0,squared_error,,5.0,,,
Early stopping,0.22048292670337793,16.872419326895148,841.3340164892068,0.22048292670337793,300,0.05,3,1.0,squared_error,,,10.0,0.1,0.0001
